event_id,citizen_id,city_zone,temperature_c,air_quality_index,energy_consumption_kwh,transport_mode,activity_type,noise_db,timestamp,renewable_energy_source,security_alert_flag,predicted_crowd_density
68,39774,Hydra Loop,28.33,115,0.251,HoverCab,Delivery,57.5,2032-08-24 06:09:24,HydroGrid,0,0.98
69,67159,AeroTech District,30.35,167,3.7,Walk,Work,63.2,2032-03-29 10:55:21,Wind,0,0.54
70,29014,Neon Habitat,33.73,141,0.552,Walk,Health,61.8,2032-07-22 22:28:32,FusionCell,0,0.45
71,22578,Solaris Sector,24.68,80,1.419,Walk,Health,63.6,2032-12-11 17:07:54,Solar,0,0.28
72,14143,Solaris Sector,25.37,132,1.448,HyperLoop,Delivery,64.4,2032-02-17 20:24:51,Wind,0,0.57
73,35835,Quantum Bay,35.87,167,3.85,Walk,Delivery,61.2,2032-06-11 11:59:07,Solar,0,0.71
74,38926,Solaris Sector,27.8,169,0.64,E-Bike,Delivery,66.7,2032-11-23 06:12:40,Solar,0,0.92
75,44178,Hydra Loop,31.54,123,0.613,HyperLoop,Leisure,69.0,2032-08-18 09:31:33,FusionCell,0,0.69
76,55079,Solaris Sector,34.67,31,0.48,HyperLoop,Health,74.7,2032-08-20 08:50:50,HydroGrid,0,0.8
77,49038,Neon Habitat,33.58,146,1.356,E-Bike,Work,64.8,2032-04-27 07:23:17,FusionCell,1,0.95
78,52165,Hydra Loop,24.36,37,1.387,MagRail,Leisure,64.1,2032-11-10 04:58:24,Wind,0,0.18
79,66033,Hydra Loop,32.63,92,2.319,MagRail,Shopping,71.0,2032-04-07 02:42:19,HydroGrid,0,0.2
80,62417,Quantum Bay,23.35,83,0.364,HoverCab,Leisure,69.1,2032-07-05 03:52:09,HydroGrid,0,0.92
81,39794,Solaris Sector,25.82,57,0.318,HoverCab,Leisure,68.0,2032-12-01 14:28:08,Solar,0,0.52
82,84287,Neon Habitat,37.32,115,1.775,Walk,Delivery,49.7,2032-08-19 16:58:03,Wind,0,0.53
83,41078,AeroTech District,29.21,167,3.488,MagRail,Shopping,60.9,2032-08-24 03:42:54,HydroGrid,0,0.87
84,92165,Solaris Sector,23.36,138,0.869,HyperLoop,Delivery,72.9,2032-11-20 20:51:05,HydroGrid,0,0.64
85,47913,Solaris Sector,30.58,111,1.188,HoverCab,Leisure,73.2,2032-02-17 00:48:54,HydroGrid,0,0.81
86,11460,AeroTech District,25.35,47,2.691,HoverCab,Work,71.7,2032-02-11 14:10:32,Wind,0,0.84
87,34460,AeroTech District,25.74,28,4.525,Walk,Shopping,53.8,2032-01-17 23:13:04,Wind,0,0.61
88,76178,Quantum Bay,28.22,30,1.794,HyperLoop,Commute,57.3,2032-09-17 01:08:57,Solar,0,0.12
89,46678,Solaris Sector,30.15,72,4.801,E-Bike,Shopping,68.3,2032-07-11 20:40:30,Wind,0,0.71
90,56038,AeroTech District,26.76,141,2.014,Walk,Delivery,55.9,2032-10-11 08:53:37,FusionCell,0,0.35
91,49059,Hydra Loop,24.51,93,0.203,Walk,Work,75.1,2032-08-16 14:32:55,FusionCell,0,0.4
92,47692,Neon Habitat,28.69,117,1.281,Walk,Shopping,58.9,2032-06-06 12:11:38,Solar,0,0.96
93,69239,Neon Habitat,31.46,159,1.406,Walk,Health,44.2,2032-09-28 10:14:00,HydroGrid,0,0.42
94,35318,Solaris Sector,22.58,167,0.94,MagRail,Leisure,64.9,2032-02-14 07:13:40,Solar,1,0.54
95,96123,Quantum Bay,25.15,131,0.113,HyperLoop,Delivery,76.4,2032-06-06 14:05:15,FusionCell,0,0.41
96,46808,AeroTech District,26.78,48,3.155,Walk,Commute,52.7,2032-08-09 18:16:48,FusionCell,0,0.37
97,98618,AeroTech District,23.51,150,4.031,Walk,Work,60.9,2032-08-19 08:05:16,Wind,0,0.22
98,41933,Neon Habitat,31.71,90,1.855,E-Bike,Delivery,62.5,2032-12-15 06:14:53,HydroGrid,0,0.57
99,53484,Solaris Sector,33.48,114,0.594,MagRail,Work,60.7,2032-01-28 05:35:35,HydroGrid,0,0.19
100,22420,AeroTech District,34.15,44,0.999,HoverCab,Health,75.6,2032-08-03 04:31:06,FusionCell,0,0.54
101,40162,Hydra Loop,29.52,57,11.921,E-Bike,Leisure,82.9,2032-04-11 04:02:30,HydroGrid,0,0.91
102,68576,Solaris Sector,31.68,142,0.123,MagRail,Delivery,71.6,2032-11-25 23:04:02,Wind,0,0.95
103,59563,Neon Habitat,34.06,130,1.166,Walk,Health,56.5,2032-12-30 17:08:18,HydroGrid,0,0.23
104,78569,Hydra Loop,28.8,81,0.938,Walk,Work,61.8,2032-10-06 09:39:08,Solar,0,0.21
105,69431,Quantum Bay,28.64,171,4.895,E-Bike,Leisure,73.9,2032-11-17 03:22:14,Wind,0,0.18
106,92132,Quantum Bay,28.16,92,2.735,E-Bike,Commute,96.6,2032-01-05 22:34:12,FusionCell,0,0.81
107,98983,Neon Habitat,24.58,96,0.044,HyperLoop,Work,60.1,2032-11-01 08:31:05,FusionCell,0,0.37
108,25319,Solaris Sector,28.55,90,4.143,Walk,Delivery,73.0,2032-07-27 21:38:44,Wind,0,0.41
109,73972,Neon Habitat,30.66,69,8.602,Walk,Health,74.2,2032-06-09 11:21:02,FusionCell,0,0.3
110,71312,Neon Habitat,33.07,172,0.386,E-Bike,Leisure,53.0,2032-04-05 12:03:45,Wind,0,0.53
111,98713,Quantum Bay,31.65,154,13.11,HoverCab,Delivery,68.2,2032-03-05 06:39:41,Wind,0,0.49
112,54751,Quantum Bay,36.4,58,0.301,E-Bike,Commute,62.6,2032-06-17 22:18:47,HydroGrid,0,0.91
113,12177,AeroTech District,27.97,117,1.018,HyperLoop,Delivery,64.2,2032-02-05 16:05:56,Wind,0,0.74
114,94179,Hydra Loop,24.26,143,1.608,E-Bike,Delivery,74.1,2032-10-18 20:30:36,FusionCell,0,0.45
115,17239,Neon Habitat,25.7,27,4.661,MagRail,Leisure,62.3,2032-09-04 23:14:10,HydroGrid,0,0.15
116,30788,Quantum Bay,23.98,105,1.365,HoverCab,Commute,61.3,2032-04-27 12:08:12,FusionCell,0,0.98
117,82377,Quantum Bay,24.07,29,1.008,Walk,Shopping,64.8,2032-05-07 21:12:11,HydroGrid,0,0.99
118,27224,Hydra Loop,29.08,134,1.461,E-Bike,Work,63.1,2032-09-11 09:15:04,HydroGrid,1,0.54
119,50283,Hydra Loop,20.98,101,1.448,MagRail,Health,69.8,2032-03-22 09:27:03,Solar,0,0.76
120,31444,AeroTech District,28.47,149,3.58,MagRail,Health,77.5,2032-11-25 01:58:34,Wind,0,0.65
121,21490,Solaris Sector,28.28,152,1.505,MagRail,Work,65.4,2032-08-05 06:51:11,HydroGrid,0,0.84
122,53090,AeroTech District,20.47,111,1.421,Walk,Leisure,69.4,2032-08-05 08:48:11,FusionCell,0,0.74
123,70381,Quantum Bay,34.19,148,1.397,HyperLoop,Leisure,62.3,2032-09-08 02:23:31,Wind,0,0.48
124,94576,AeroTech District,30.46,53,1.399,E-Bike,Delivery,79.3,2032-04-02 16:23:01,Solar,0,0.35
125,86076,Neon Habitat,29.34,74,2.189,Walk,Health,65.8,2032-02-20 20:03:42,Wind,0,0.87
126,25623,Hydra Loop,23.4,57,3.891,E-Bike,Delivery,53.5,2032-05-28 21:49:10,HydroGrid,0,0.48
127,90164,Neon Habitat,25.84,63,8.077,E-Bike,Work,62.4,2032-07-31 16:10:30,HydroGrid,0,0.13
128,29007,Quantum Bay,27.38,160,0.466,HyperLoop,Delivery,65.8,2032-04-25 04:33:15,Wind,0,0.72
129,93577,Quantum Bay,27.87,46,1.335,MagRail,Work,74.4,2032-02-27 20:54:26,Solar,0,0.61
130,25668,Quantum Bay,26.93,79,0.983,HoverCab,Leisure,65.9,2032-09-14 06:11:42,FusionCell,0,0.19
131,30190,Solaris Sector,28.06,105,1.209,HoverCab,Leisure,67.1,2032-02-09 00:07:56,FusionCell,0,0.16
132,80154,Neon Habitat,26.32,63,0.539,HoverCab,Commute,58.4,2032-11-25 14:16:13,FusionCell,0,0.38
133,68590,Neon Habitat,27.26,121,0.472,Walk,Shopping,67.0,2032-07-30 18:24:49,Wind,0,0.83
134,30059,Solaris Sector,30.82,44,2.163,MagRail,Commute,66.7,2032-09-29 03:40:16,FusionCell,0,0.77
135,90605,AeroTech District,22.55,72,0.195,HyperLoop,Shopping,77.5,2032-03-22 13:04:19,Wind,0,0.54
136,21455,AeroTech District,29.37,74,1.239,Walk,Work,68.3,2032-06-23 05:32:55,HydroGrid,0,0.21
137,91633,Solaris Sector,23.74,42,2.093,E-Bike,Work,53.3,2032-10-12 22:49:03,FusionCell,0,0.36
138,56150,AeroTech District,32.47,159,4.065,MagRail,Shopping,73.9,2032-07-21 04:13:19,HydroGrid,0,0.48
139,72289,Hydra Loop,32.65,39,1.869,MagRail,Health,59.1,2032-10-04 07:40:03,FusionCell,0,0.21
140,78897,AeroTech District,21.75,112,0.564,MagRail,Leisure,67.7,2032-03-08 12:09:58,Wind,0,0.47
141,50172,AeroTech District,31.07,101,2.771,HyperLoop,Delivery,90.4,2032-09-25 09:51:48,Solar,0,0.16
142,96225,Neon Habitat,27.75,152,1.754,E-Bike,Leisure,53.5,2032-03-29 11:40:06,FusionCell,0,0.93
143,51422,Solaris Sector,27.85,145,3.273,MagRail,Delivery,60.6,2032-08-15 00:33:44,Solar,0,0.6
144,22440,Solaris Sector,27.72,174,3.024,Walk,Work,71.3,2032-05-30 06:33:07,FusionCell,0,0.31
145,62163,Hydra Loop,31.37,86,2.663,MagRail,Health,71.3,2032-02-18 15:59:01,Solar,0,0.88
146,47795,Solaris Sector,29.61,143,8.067,HoverCab,Commute,48.9,2032-04-29 12:22:23,HydroGrid,0,0.67
147,29818,Neon Habitat,28.31,48,3.486,MagRail,Work,71.8,2032-04-03 16:27:07,HydroGrid,0,0.47
148,57516,Hydra Loop,21.69,114,2.752,HoverCab,Shopping,59.3,2032-06-15 16:55:16,Wind,0,0.46
149,71496,Hydra Loop,25.91,147,1.317,HyperLoop,Commute,67.4,2032-05-22 16:00:21,Solar,0,0.43
150,83383,Solaris Sector,34.09,175,1.672,HyperLoop,Commute,57.9,2032-04-14 05:02:38,Wind,0,0.42
151,32730,Neon Habitat,30.66,49,0.284,Walk,Leisure,69.6,2032-10-24 04:45:51,HydroGrid,0,0.13
152,99644,AeroTech District,33.07,37,2.987,E-Bike,Delivery,56.6,2032-08-07 05:47:38,Solar,0,0.58
153,49522,Neon Habitat,32.56,21,2.068,Walk,Delivery,71.2,2032-07-18 22:50:35,FusionCell,0,0.27
154,37122,Quantum Bay,29.12,28,5.873,E-Bike,Commute,62.4,2032-05-13 19:22:45,FusionCell,0,0.11
155,64255,Neon Habitat,21.0,89,4.42,HoverCab,Leisure,73.6,2032-06-07 12:17:33,FusionCell,0,0.61
156,45552,Hydra Loop,26.81,136,1.698,E-Bike,Leisure,73.8,2032-06-24 05:46:15,HydroGrid,0,0.43
157,15368,Quantum Bay,31.67,39,0.371,HoverCab,Work,64.6,2032-09-30 19:31:21,Wind,1,0.64
158,78059,Hydra Loop,35.91,59,0.817,Walk,Delivery,61.4,2032-06-03 11:13:28,FusionCell,1,0.14
159,23417,Hydra Loop,28.71,145,1.127,Walk,Commute,64.6,2032-08-23 10:30:38,Solar,0,0.53
160,65769,Quantum Bay,26.27,30,0.242,E-Bike,Delivery,54.5,2032-09-04 07:07:20,HydroGrid,0,0.22
161,79493,Hydra Loop,29.21,27,1.255,HyperLoop,Delivery,54.8,2032-11-23 01:47:59,FusionCell,0,0.85
162,42389,Hydra Loop,28.57,20,6.204,HoverCab,Leisure,77.7,2032-05-20 10:40:55,FusionCell,0,0.68
163,32644,Hydra Loop,27.32,170,3.511,MagRail,Delivery,68.0,2032-04-23 16:21:42,Solar,0,0.93
164,66162,Hydra Loop,26.65,25,6.793,HyperLoop,Commute,57.4,2032-12-02 07:43:43,Solar,0,0.16
165,96675,Neon Habitat,30.8,66,1.122,HyperLoop,Commute,74.0,2032-04-28 21:27:50,Wind,0,0.78
166,81573,Neon Habitat,27.0,162,1.054,Walk,Shopping,74.2,2032-04-24 16:41:29,HydroGrid,0,0.88
167,51987,AeroTech District,30.87,40,3.807,MagRail,Work,70.8,2032-11-12 21:29:54,Solar,0,0.87
168,25578,Solaris Sector,26.47,82,1.816,MagRail,Work,81.9,2032-07-31 14:46:46,Wind,0,0.45
169,26406,Solaris Sector,24.2,159,2.3,HoverCab,Leisure,62.4,2032-07-16 07:12:21,Wind,0,0.95
170,15919,AeroTech District,28.88,161,3.773,Walk,Health,37.1,2032-03-28 16:39:44,FusionCell,0,0.8
171,77354,Neon Habitat,21.23,24,4.222,Walk,Work,77.2,2032-10-21 12:04:10,HydroGrid,0,0.49
172,33462,Solaris Sector,25.01,56,0.466,HyperLoop,Shopping,66.6,2032-01-25 20:13:19,HydroGrid,0,0.9
173,21306,Hydra Loop,26.74,137,8.198,MagRail,Delivery,64.8,2032-07-11 12:02:51,Wind,1,0.36
174,83244,Neon Habitat,20.72,79,4.587,HoverCab,Delivery,65.6,2032-11-11 07:23:10,Wind,0,0.41
175,53428,Neon Habitat,28.11,75,3.889,HyperLoop,Work,62.6,2032-12-27 00:17:59,FusionCell,0,0.74
176,13809,Quantum Bay,22.8,139,1.087,MagRail,Work,38.6,2032-02-02 09:29:38,Solar,0,0.83
177,93790,AeroTech District,31.8,73,0.202,Walk,Shopping,70.8,2032-09-29 08:28:22,FusionCell,0,0.22
178,41660,Neon Habitat,28.95,144,0.849,MagRail,Health,68.8,2032-05-11 05:08:31,Wind,0,0.85
179,13359,Quantum Bay,28.8,73,5.811,MagRail,Leisure,81.8,2032-02-13 10:45:27,Solar,0,0.9
180,81110,Hydra Loop,25.92,132,2.87,HoverCab,Commute,44.4,2032-01-08 07:13:29,Wind,0,0.74
181,30257,Hydra Loop,22.74,129,0.563,MagRail,Leisure,61.5,2032-12-08 06:41:55,HydroGrid,0,0.44
182,32092,AeroTech District,22.5,103,6.697,E-Bike,Work,58.6,2032-03-07 15:43:43,HydroGrid,0,0.14
183,49145,Quantum Bay,37.43,49,2.367,HyperLoop,Commute,65.9,2032-07-12 16:33:31,Wind,0,0.21
184,76760,Neon Habitat,25.6,169,1.548,Walk,Shopping,65.8,2032-11-18 03:52:40,Wind,0,0.82
185,14847,Hydra Loop,19.79,132,11.479,HoverCab,Delivery,77.3,2032-03-28 15:51:31,HydroGrid,0,0.15
186,72079,Neon Habitat,30.97,162,1.328,HoverCab,Commute,55.5,2032-03-19 00:33:51,FusionCell,0,0.65
187,81177,Neon Habitat,31.14,23,1.655,HoverCab,Work,61.9,2032-06-03 15:49:01,HydroGrid,0,0.92
188,81342,Hydra Loop,28.42,157,1.512,Walk,Health,52.2,2032-06-28 05:02:31,FusionCell,0,0.84
189,17528,Solaris Sector,30.6,53,2.181,MagRail,Commute,66.4,2032-08-12 10:58:37,Solar,0,0.72
190,63504,AeroTech District,31.44,57,0.998,HyperLoop,Work,75.6,2032-03-07 04:44:08,FusionCell,0,0.42
191,88793,Hydra Loop,31.37,117,0.07,HoverCab,Health,70.2,2032-12-06 07:59:54,Wind,0,0.74
192,30719,Hydra Loop,25.47,63,3.833,HyperLoop,Shopping,75.6,2032-10-19 20:46:12,HydroGrid,0,0.92
193,24791,Hydra Loop,23.91,82,1.484,MagRail,Shopping,51.9,2032-07-21 18:50:54,Wind,0,0.53
194,64219,AeroTech District,30.79,143,2.039,HyperLoop,Health,61.8,2032-12-09 07:30:07,Wind,0,0.19
195,45008,Hydra Loop,28.59,123,5.978,Walk,Delivery,62.5,2032-07-11 02:03:59,Solar,0,0.51
196,87922,Quantum Bay,28.73,47,4.919,HyperLoop,Health,45.8,2032-10-14 00:21:28,Wind,0,0.67
197,39454,Neon Habitat,25.52,98,2.873,HoverCab,Health,56.9,2032-06-23 08:09:22,Wind,0,0.27
198,12700,Neon Habitat,27.66,99,6.59,Walk,Commute,57.1,2032-09-10 01:55:52,HydroGrid,0,0.83
199,36186,Neon Habitat,29.82,130,3.213,Walk,Shopping,76.3,2032-07-24 11:18:42,HydroGrid,0,0.24
200,90155,Solaris Sector,30.45,100,1.638,Walk,Commute,46.8,2032-01-20 21:40:09,HydroGrid,0,0.58
201,34465,Neon Habitat,24.92,144,1.884,Walk,Shopping,57.4,2032-04-25 00:03:53,HydroGrid,0,0.44
202,58464,Hydra Loop,24.41,132,2.541,E-Bike,Shopping,61.9,2032-11-29 13:30:47,HydroGrid,0,0.33
203,41659,Hydra Loop,32.2,125,0.11,MagRail,Shopping,54.0,2032-02-17 04:19:54,HydroGrid,0,0.91
204,27554,Hydra Loop,30.19,21,0.889,E-Bike,Leisure,72.6,2032-05-06 14:58:48,Wind,0,0.3
205,73818,Quantum Bay,27.65,167,4.048,HoverCab,Leisure,72.1,2032-01-06 03:23:01,FusionCell,0,0.78
206,36452,Solaris Sector,31.37,130,2.119,HyperLoop,Delivery,82.6,2032-09-02 14:02:02,HydroGrid,0,0.47
207,44384,Solaris Sector,33.06,87,0.35,Walk,Health,62.9,2032-03-11 21:21:52,Wind,0,1.0
208,27624,Solaris Sector,28.41,53,2.196,MagRail,Delivery,72.7,2032-10-20 19:54:58,HydroGrid,0,0.47
209,63769,Hydra Loop,30.9,55,6.372,HyperLoop,Delivery,68.9,2032-01-08 11:38:55,Wind,0,0.12
210,33994,Solaris Sector,34.97,129,8.215,Walk,Shopping,59.7,2032-08-24 17:13:53,HydroGrid,0,0.45
211,50961,Quantum Bay,32.16,99,7.875,E-Bike,Leisure,79.9,2032-03-12 01:08:50,Solar,0,0.77
212,87098,Hydra Loop,28.49,70,3.339,HyperLoop,Shopping,56.5,2032-09-10 23:00:16,Solar,0,0.29
213,27315,AeroTech District,29.83,43,3.089,Walk,Leisure,68.2,2032-10-07 22:09:54,Wind,0,0.46
214,30979,Hydra Loop,28.83,46,0.33,Walk,Delivery,54.8,2032-11-29 20:58:42,FusionCell,0,0.33
215,48389,AeroTech District,37.85,165,2.762,HoverCab,Commute,63.4,2032-06-12 13:24:43,HydroGrid,1,0.93
216,16841,Quantum Bay,30.2,56,1.212,HoverCab,Work,67.6,2032-07-12 03:28:24,HydroGrid,1,0.54
217,97306,Hydra Loop,24.76,46,2.064,Walk,Delivery,70.5,2032-05-28 02:46:47,FusionCell,0,0.17
218,67554,Neon Habitat,25.51,76,0.677,MagRail,Shopping,77.9,2032-05-05 11:09:47,Solar,0,0.28
219,91921,Solaris Sector,26.61,99,11.213,Walk,Delivery,53.5,2032-10-15 03:07:51,FusionCell,0,0.41
220,50574,Neon Habitat,37.2,89,0.569,HoverCab,Health,68.0,2032-10-28 18:38:36,Solar,1,0.92
221,84585,Quantum Bay,33.12,54,0.893,Walk,Shopping,64.1,2032-11-11 00:45:26,HydroGrid,0,0.13
222,15326,AeroTech District,25.01,124,1.542,Walk,Health,65.1,2032-10-23 23:10:10,HydroGrid,0,0.68
223,58423,Solaris Sector,26.78,102,2.851,HoverCab,Commute,78.5,2032-02-08 23:59:35,HydroGrid,0,0.18
224,91779,Hydra Loop,35.68,84,0.778,HyperLoop,Shopping,75.7,2032-07-07 08:32:57,FusionCell,1,0.51
225,28409,Quantum Bay,29.23,128,1.495,HyperLoop,Health,66.3,2032-01-31 13:18:45,FusionCell,0,0.95
226,42248,Quantum Bay,31.11,142,1.579,HoverCab,Delivery,49.7,2032-08-16 01:39:58,HydroGrid,0,0.15
227,67735,Solaris Sector,32.24,74,0.379,MagRail,Delivery,58.4,2032-03-15 04:55:27,Solar,0,0.95
